GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            60.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.0 m
 State noise velocity: 0.0000 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 45160.0  -1758180.6  3507401.6  5925378.1   54.6   24.3   86.7  1.146  0.024  0.075   52.8    0.6    0.4
 45460.0  -2217351.6  1476391.5  6589528.5   43.3   24.1   83.1  0.581  0.024  0.077   30.9    0.6    4.9
 45760.0  -2550448.1  -682323.4  6601866.9  116.0   23.9   76.9  0.344  0.024  0.075    3.5    0.6    0.7
 46060.0  -2726111.3 -2762999.5  5961868.4   44.1   23.8   69.5  0.206  0.024  0.069    1.2    0.6    5.7
 46360.0  -2719547.1 -4569096.6  4733122.0   52.0   23.8   62.9  0.131  0.024  0.068   13.8    0.6    4.5
 46660.0  -2515762.5 -5931963.9  3037099.4   73.9   23.9   57.1  0.577  0.024  0.067   22.5    0.6    4.0
 46960.0  -2112675.2 -6726874.0  1041316.4   43.2   24.0   53.8  0.943  0.023  0.067    4.0    0.6    5.3
 47260.0  -1523547.2 -6884800.3 -1057205.8   56.7   24.1   52.1  0.458  0.023  0.068    8.6    0.6    5.9
 47560.0   -778204.1 -6398555.7 -3051631.4   67.4   24.1   54.2  0.391  0.023  0.066    1.5    0.6    6.4
 47860.0     77337.5 -5322513.0 -4745960.5   82.3   24.1   54.8  0.276  0.023  0.067    6.0    0.5    3.9
 48160.0    982971.8 -3766081.9 -5974288.0  173.3   24.0   63.8  1.099  0.023  0.074   17.6    0.5    4.0
 48460.0   1868174.0 -1882073.5 -6616616.5   91.4   23.9   70.8  0.925  0.023  0.075   51.0    0.6    5.0
 48760.0   2657124.9   148540.8 -6610015.3   20.6   23.7   77.1  1.090  0.023  0.082   59.6    0.6    4.5
 49060.0   3274927.2  2133840.2 -5954437.8   23.3   23.6   83.3  0.160  0.023  0.088   77.6    0.6    4.8
 49360.0   3654616.7  3888777.0 -4712989.0   39.6   23.5   90.7  0.492  0.023  0.088   44.6    0.6    8.9
 49660.0   3744476.1  5252356.7 -3006528.6   46.2   23.5   94.1  0.269  0.023  0.088    3.3    0.6    3.8
 49960.0   3514863.5  6102851.2 -1002609.5   30.6   23.5   96.9  0.385  0.023  0.090   66.4    0.6    5.9
 50260.0   2963571.7  6369404.9  1100689.4   45.1   23.5   97.7  0.315  0.023  0.088  101.6    0.5    6.3
 50560.0   2118701.1  6038523.5  3094668.3   43.0   23.4   96.9  0.214  0.023  0.088   54.9    0.5    3.5
 50860.0   1038359.5  5154424.4  4781370.1   25.0   23.3   95.4  3.928  0.023  0.089   49.7    0.5    0.9
 51160.0   -192962.5  3813230.9  5993796.6  105.8   23.2   90.4  0.574  0.023  0.085   29.4    0.5    5.3
 51460.0  -1471040.5  2151908.1  6612564.6   26.0   23.0   85.8  0.496  0.023  0.085   12.6    0.5    3.0
 51760.0  -2680834.1   333671.2  6577316.6   84.8   22.9   79.7  0.131  0.023  0.081   42.9    0.6    2.2
 52060.0  -3706890.4 -1468402.7  5892212.7   28.9   22.8   75.0  0.109  0.023  0.083   47.2    0.6    5.8
 52360.0  -4444408.4 -3087941.7  4625274.2   25.3   22.8   70.3  0.300  0.023  0.081   16.9    0.6    1.7
 52660.0  -4810059.8 -4380699.1  2901733.8   52.7   22.8   65.3  0.379  0.023  0.075    6.2    0.6    7.4
 52960.0  -4751469.6 -5237534.4   891805.0  170.9   22.9   69.8  0.245  0.022  0.080    6.4    0.5    4.4
 53260.0  -4254203.3 -5593727.2 -1206102.5   97.6   23.0   66.1  0.142  0.022  0.075   21.9    0.5    4.2
