Exercise 4-3: Step size control of DE multistep method

  Step       t           h          r 
  260    6.318359    0.001360     0.142
  261    6.319719    0.001360     0.145
  262    6.321079    0.001360     0.148
  263    6.323799    0.002720     0.153
  264    6.326247    0.002448     0.158
  265    6.328694    0.002448     0.163
  266    6.331142    0.002448     0.168
  267    6.333590    0.002448     0.173
  268    6.336037    0.002448     0.178
  269    6.338485    0.002448     0.183
  270    6.340933    0.002448     0.188
  271    6.343381    0.002448     0.193
  272    6.345828    0.002448     0.198
  273    6.348276    0.002448     0.203
  274    6.350724    0.002448     0.208
  275    6.353171    0.002448     0.213
  276    6.355619    0.002448     0.218
  277    6.358067    0.002448     0.223
  278    6.360515    0.002448     0.228
  279    6.362962    0.002448     0.233
  280    6.365410    0.002448     0.238
  281    6.367858    0.002448     0.243
  282    6.370305    0.002448     0.248
  283    6.372753    0.002448     0.253
  284    6.377649    0.004895     0.262
  285    6.382054    0.004406     0.271
  286    6.386460    0.004406     0.280
  287    6.390866    0.004406     0.288
  288    6.395272    0.004406     0.296
  289    6.399678    0.004406     0.305
  290    6.404084    0.004406     0.313
  291    6.408490    0.004406     0.321
  292    6.412896    0.004406     0.329
  293    6.417302    0.004406     0.337
  294    6.421708    0.004406     0.345
  295    6.426113    0.004406     0.353
  296    6.430519    0.004406     0.361
  297    6.434925    0.004406     0.368
  298    6.439331    0.004406     0.376
  299    6.443737    0.004406     0.384
  300    6.448143    0.004406     0.391
  301    6.456955    0.008812     0.406
  302    6.465766    0.008812     0.420
  303    6.474578    0.008812     0.435
  304    6.483390    0.008812     0.449
  305    6.492202    0.008812     0.463
  306    6.501014    0.008812     0.476
  307    6.509825    0.008812     0.490
  308    6.518637    0.008812     0.503
  309    6.527449    0.008812     0.516
  310    6.536261    0.008812     0.529
  311    6.545073    0.008812     0.542
  312    6.553884    0.008812     0.554
  313    6.562696    0.008812     0.566
  314    6.571508    0.008812     0.579
  315    6.580320    0.008812     0.591
  316    6.589131    0.008812     0.603
  317    6.597943    0.008812     0.614
  318    6.606755    0.008812     0.626
  319    6.615567    0.008812     0.637
  320    6.624379    0.008812     0.649
  321    6.642002    0.017624     0.671
  322    6.659626    0.017624     0.693
  323    6.677249    0.017624     0.714
  324    6.694873    0.017624     0.735
  325    6.712496    0.017624     0.755
  326    6.730120    0.017624     0.775
  327    6.747744    0.017624     0.795
  328    6.765367    0.017624     0.814
  329    6.782991    0.017624     0.833
  330    6.800614    0.017624     0.852
  331    6.818238    0.017624     0.870
  332    6.835861    0.017624     0.888
  333    6.853485    0.017624     0.905
  334    6.871109    0.017624     0.923
  335    6.888732    0.017624     0.939
  336    6.906356    0.017624     0.956
  337    6.923979    0.017624     0.973
  338    6.959226    0.035247     1.005
  339    6.994474    0.035247     1.036
  340    7.029721    0.035247     1.066
  341    7.064968    0.035247     1.095
  342    7.100215    0.035247     1.124
  343    7.135462    0.035247     1.151
  344    7.170709    0.035247     1.178
  345    7.205956    0.035247     1.204
  346    7.241204    0.035247     1.229
  347    7.276451    0.035247     1.254
  348    7.311698    0.035247     1.278
  349    7.346945    0.035247     1.301
  350    7.382192    0.035247     1.324
  351    7.417439    0.035247     1.346
  352    7.452686    0.035247     1.367
  353    7.487934    0.035247     1.388
  354    7.523181    0.035247     1.409
  355    7.558428    0.035247     1.428
  356    7.593675    0.035247     1.448
  357    7.664169    0.070494     1.485
  358    7.734664    0.070494     1.520
  359    7.805158    0.070494     1.553
  360    7.875652    0.070494     1.584
  361    7.946146    0.070494     1.614
  362    8.016641    0.070494     1.642
  363    8.087135    0.070494     1.668
  364    8.157629    0.070494     1.693
  365    8.228124    0.070494     1.716
  366    8.298618    0.070494     1.738
  367    8.369112    0.070494     1.758
  368    8.439606    0.070494     1.776
  369    8.510101    0.070494     1.794
  370    8.580595    0.070494     1.810
  371    8.651089    0.070494     1.824
  372    8.721584    0.070494     1.838
  373    8.862572    0.140989     1.860
  374    8.989462    0.126890     1.876
  375    9.116352    0.126890     1.888
  376    9.243241    0.126890     1.896
  377    9.370131    0.126890     1.900
  378    9.497021    0.126890     1.899
  379    9.623911    0.126890     1.895
  380    9.750800    0.126890     1.887
  381    9.877690    0.126890     1.874
  382   10.004580    0.126890     1.858
  383   10.131469    0.126890     1.837
  384   10.258359    0.126890     1.812
  385   10.385249    0.126890     1.783
  386   10.512139    0.126890     1.749
  387   10.639028    0.126890     1.710
  388   10.765918    0.126890     1.667
  389   10.892808    0.126890     1.618
  390   11.019697    0.126890     1.564
  391   11.146587    0.126890     1.504
  392   11.273477    0.126890     1.438
  393   11.400367    0.126890     1.365
  394   11.527256    0.126890     1.285
  395   11.641457    0.114201     1.205
  396   11.698557    0.057100     1.163
  397   11.801338    0.102781     1.081
  398   11.852728    0.051390     1.038
  399   11.904119    0.051390     0.992
  400   11.955509    0.051390     0.945
  401   12.006899    0.051390     0.894
  402   12.058290    0.051390     0.842
  403   12.109680    0.051390     0.786
  404   12.161070    0.051390     0.727
  405   12.186766    0.025695     0.697
  406   12.212461    0.025695     0.665
  407   12.238156    0.025695     0.632
  408   12.263851    0.025695     0.598
  409   12.289546    0.025695     0.563
  410   12.315241    0.025695     0.526
  411   12.340937    0.025695     0.488
  412   12.364062    0.023126     0.452
  413   12.375625    0.011563     0.434
  414   12.396438    0.020813     0.399
  415   12.406845    0.010407     0.382
  416   12.417251    0.010407     0.364
  417   12.427658    0.010407     0.345
  418   12.438064    0.010407     0.327
  419   12.448471    0.010407     0.307
  420   12.458877    0.010407     0.288
  421   12.469284    0.010407     0.268
  422   12.479690    0.010407     0.247
  423   12.484894    0.005203     0.237
  424   12.490097    0.005203     0.226
  425   12.495300    0.005203     0.215
  426   12.500504    0.005203     0.205
  427   12.505707    0.005203     0.194
  428   12.510910    0.005203     0.183
  429   12.516113    0.005203     0.173
  430   12.521317    0.005203     0.162
  431   12.526000    0.004683     0.153
  432   12.530683    0.004683     0.143
  433   12.533024    0.002341     0.139
  434   12.535365    0.002341     0.135
  435   12.537707    0.002341     0.130
  436   12.540048    0.002341     0.126
  437   12.542390    0.002341     0.122
  438   12.544731    0.002341     0.119
  439   12.547073    0.002341     0.115
  440   12.549414    0.002341     0.112
  441   12.551756    0.002341     0.109
  442   12.554097    0.002341     0.106
  443   12.556439    0.002341     0.104
  444   12.558780    0.002341     0.103
  445   12.561122    0.002341     0.101
  446   12.563229    0.002107     0.100
  447   12.565336    0.002107     0.100
  448   12.567444    0.002107     0.100
  449   12.569551    0.002107     0.100
  450   12.571448    0.001897     0.101
  451   12.573344    0.001897     0.102
  452   12.575241    0.001897     0.103
  453   12.577137    0.001897     0.105
  454   12.579034    0.001897     0.107
  455   12.580931    0.001897     0.109
  456   12.582827    0.001897     0.111
  457   12.584724    0.001897     0.114
  458   12.586620    0.001897     0.117
  459   12.588517    0.001897     0.119
  460   12.590413    0.001897     0.122
  461   12.592310    0.001897     0.126
  462   12.594207    0.001897     0.129
  463   12.596103    0.001897     0.132
  464   12.598000    0.001897     0.136
  465   12.599896    0.001897     0.139
  466   12.601793    0.001897     0.143
  467   12.603690    0.001897     0.147
  468   12.605586    0.001897     0.150
  469   12.607483    0.001897     0.154
  470   12.609379    0.001897     0.158
  471   12.611276    0.001897     0.162
  472   12.613173    0.001897     0.165
  473   12.615069    0.001897     0.169
  474   12.616966    0.001897     0.173
  475   12.618862    0.001897     0.177
  476   12.620759    0.001897     0.181
  477   12.622656    0.001897     0.185
  478   12.624552    0.001897     0.189
  479   12.626449    0.001897     0.193
  480   12.628345    0.001897     0.197
  481   12.630242    0.001897     0.201
  482   12.632139    0.001897     0.205
  483   12.634035    0.001897     0.208
  484   12.635932    0.001897     0.212
  485   12.639725    0.003793     0.220
  486   12.643518    0.003793     0.228
  487   12.647311    0.003793     0.235
  488   12.651104    0.003793     0.243
  489   12.654898    0.003793     0.251
  490   12.658691    0.003793     0.258
  491   12.662484    0.003793     0.266
  492   12.666277    0.003793     0.273
  493   12.670070    0.003793     0.280
  494   12.673864    0.003793     0.288
  495   12.677657    0.003793     0.295
  496   12.681450    0.003793     0.302
  497   12.685243    0.003793     0.309
  498   12.689036    0.003793     0.316
  499   12.692829    0.003793     0.323
  500   12.696623    0.003793     0.330
  501   12.704209    0.007586     0.344
  502   12.711037    0.006828     0.356
  503   12.717864    0.006828     0.368
  504   12.724692    0.006828     0.380
  505   12.731520    0.006828     0.391
  506   12.738348    0.006828     0.403
  507   12.745175    0.006828     0.414
  508   12.752003    0.006828     0.425
  509   12.758831    0.006828     0.436
  510   12.765659    0.006828     0.447
  511   12.772486    0.006828     0.458
  512   12.779314    0.006828     0.469
  513   12.786142    0.006828     0.479
  514   12.792970    0.006828     0.490
  515   12.799797    0.006828     0.500
  516   12.806625    0.006828     0.510
  517   12.813453    0.006828     0.520
  518   12.820280    0.006828     0.530
  519   12.827108    0.006828     0.540
  520   12.840764    0.013655     0.559
  521   12.854419    0.013655     0.578
  522   12.868075    0.013655     0.597
  523   12.881730    0.013655     0.615
  524   12.895386    0.013655     0.633
  525   12.909041    0.013655     0.651
  526   12.922696    0.013655     0.668
  527   12.936352    0.013655     0.685
  528   12.950007    0.013655     0.701
  529   12.963663    0.013655     0.718
  530   12.977318    0.013655     0.734
  531   12.990974    0.013655     0.750
  532   13.004629    0.013655     0.765
  533   13.018285    0.013655     0.781
  534   13.031940    0.013655     0.796
  535   13.045596    0.013655     0.811
  536   13.059251    0.013655     0.826
  537   13.072907    0.013655     0.840
  538   13.100218    0.027311     0.869
  539   13.127528    0.027311     0.896
  540   13.154839    0.027311     0.923
  541   13.182150    0.027311     0.949
  542   13.209461    0.027311     0.975
  543   13.236772    0.027311     1.000
  544   13.264083    0.027311     1.024
  545   13.291394    0.027311     1.048
  546   13.318705    0.027311     1.071
  547   13.346016    0.027311     1.093
  548   13.373327    0.027311     1.116
  549   13.400638    0.027311     1.137
  550   13.427949    0.027311     1.158
  551   13.455260    0.027311     1.179
  552   13.482571    0.027311     1.199
  553   13.509881    0.027311     1.219
  554   13.537192    0.027311     1.238
  555   13.591814    0.054622     1.276
  556   13.640974    0.049160     1.308
  557   13.690134    0.049160     1.339
  558   13.739293    0.049160     1.369
  559   13.788453    0.049160     1.398
  560   13.837613    0.049160     1.426
  561   13.886772    0.049160     1.453
  562   13.935932    0.049160     1.479
  563   13.985092    0.049160     1.504
  564   14.034251    0.049160     1.528
  565   14.083411    0.049160     1.551
  566   14.132571    0.049160     1.573
  567   14.181730    0.049160     1.594
  568   14.230890    0.049160     1.614
  569   14.280050    0.049160     1.634
  570   14.329209    0.049160     1.653
  571   14.427529    0.098319     1.688
  572   14.525848    0.098319     1.720
  573   14.624167    0.098319     1.750
  574   14.722487    0.098319     1.776
  575   14.820806    0.098319     1.800
  576   14.919126    0.098319     1.821
  577   15.017445    0.098319     1.840
  578   15.115764    0.098319     1.856
  579   15.214084    0.098319     1.869
  580   15.312403    0.098319     1.880
  581   15.410722    0.098319     1.889
  582   15.509042    0.098319     1.895
  583   15.607361    0.098319     1.899
  584   15.705680    0.098319     1.900
  585   15.804000    0.098319     1.899
  586   15.902319    0.098319     1.895
  587   16.098958    0.196639     1.881
  588   16.275933    0.176975     1.860
  589   16.452907    0.176975     1.830
  590   16.629882    0.176975     1.792
  591   16.806857    0.176975     1.745
  592   16.983832    0.176975     1.690
  593   17.160807    0.176975     1.624
  594   17.320084    0.159277     1.556
  595   17.479361    0.159277     1.479
  596   17.559000    0.079639     1.437
  597   17.638639    0.079639     1.392
  598   17.718277    0.079639     1.344
  599   17.797916    0.079639     1.293
  600   17.877555    0.079639     1.239
  601   17.957193    0.079639     1.182
  602   18.036832    0.079639     1.120
  603   18.116471    0.079639     1.055
  604   18.156290    0.039819     1.020
  605   18.196110    0.039819     0.984
  606   18.235929    0.039819     0.947
  607   18.275748    0.039819     0.909
  608   18.315568    0.039819     0.869
  609   18.355387    0.039819     0.827
  610   18.395206    0.039819     0.784
  611   18.435026    0.039819     0.738
  612   18.470863    0.035837     0.695
  613   18.506700    0.035837     0.651
  614   18.524619    0.017919     0.628
  615   18.542538    0.017919     0.604
  616   18.560456    0.017919     0.580
  617   18.578375    0.017919     0.555
  618   18.596294    0.017919     0.529
  619   18.614213    0.017919     0.503
  620   18.632131    0.017919     0.476
  621   18.650050    0.017919     0.448
  622   18.666177    0.016127     0.422
  623   18.682304    0.016127     0.395
  624   18.690367    0.008063     0.381
  625   18.698430    0.008063     0.367
  626   18.706494    0.008063     0.353
  627   18.714557    0.008063     0.339
  628   18.722621    0.008063     0.324
  629   18.730684    0.008063     0.309
  630   18.738748    0.008063     0.294
  631   18.746811    0.008063     0.279
  632   18.754874    0.008063     0.263
  633   18.762938    0.008063     0.247
  634   18.771001    0.008063     0.231
  635   18.779065    0.008063     0.214
  636   18.786322    0.007257     0.199
  637   18.789950    0.003629     0.192
  638   18.793579    0.003629     0.184
  639   18.797207    0.003629     0.177
  640   18.800836    0.003629     0.169
  641   18.804464    0.003629     0.162
  642   18.808093    0.003629     0.155
  643   18.811721    0.003629     0.148
  644   18.815350    0.003629     0.141
  645   18.818979    0.003629     0.134
  646   18.822607    0.003629     0.127
  647   18.825873    0.003266     0.122
  648   18.829138    0.003266     0.117
  649   18.830771    0.001633     0.114
  650   18.832404    0.001633     0.112
  651   18.834037    0.001633     0.110
  652   18.835670    0.001633     0.108
  653   18.837303    0.001633     0.106
  654   18.838935    0.001633     0.105
  655   18.840568    0.001633     0.104
  656   18.842201    0.001633     0.102
  657   18.843834    0.001633     0.101
  658   18.845467    0.001633     0.101
  659   18.847100    0.001633     0.100
  660   18.848733    0.001633     0.100
  661   18.850365    0.001633     0.100
  662   18.851998    0.001633     0.100
  663   18.853631    0.001633     0.101
  664   18.855264    0.001633     0.101
  665   18.856897    0.001633     0.102
  666   18.858530    0.001633     0.104
  667   18.860162    0.001633     0.105
  668   18.861795    0.001633     0.106
  669   18.863428    0.001633     0.108
  670   18.865061    0.001633     0.110
  671   18.866694    0.001633     0.112
  672   18.868327    0.001633     0.114
  673   18.869959    0.001633     0.117
  674   18.871592    0.001633     0.119
  675   18.873225    0.001633     0.122
  676   18.874858    0.001633     0.125
  677   18.876491    0.001633     0.127
  678   18.878124    0.001633     0.130
  679   18.879757    0.001633     0.133
  680   18.881389    0.001633     0.136
  681   18.883022    0.001633     0.139
  682   18.884655    0.001633     0.142
  683   18.886288    0.001633     0.145
  684   18.887921    0.001633     0.149
  685   18.889554    0.001633     0.152
  686   18.891186    0.001633     0.155
  687   18.892819    0.001633     0.158
  688   18.894452    0.001633     0.162
  689   18.896085    0.001633     0.165
  690   18.897718    0.001633     0.168
  691   18.899351    0.001633     0.172
  692   18.900983    0.001633     0.175
  693   18.902616    0.001633     0.178
  694   18.905882    0.003266     0.185
  695   18.909148    0.003266     0.192
  696   18.912413    0.003266     0.199
  697   18.915679    0.003266     0.205
  698   18.918945    0.003266     0.212
  699   18.922210    0.003266     0.219
  700   18.925476    0.003266     0.225
  701   18.928742    0.003266     0.232
  702   18.932007    0.003266     0.239
  703   18.935273    0.003266     0.245
  704   18.938539    0.003266     0.252
  705   18.941805    0.003266     0.258
  706   18.945070    0.003266     0.264
  707   18.948336    0.003266     0.271
  708   18.951602    0.003266     0.277
  709   18.954867    0.003266     0.283
  710   18.958133    0.003266     0.290
  711   18.961399    0.003266     0.296
  712   18.964664    0.003266     0.302
  713   18.967930    0.003266     0.308
  714   18.971196    0.003266     0.314
  715   18.977727    0.006531     0.326
  716   18.983605    0.005878     0.337
  717   18.989483    0.005878     0.348
  718   18.995362    0.005878     0.358
  719   19.001240    0.005878     0.368
  720   19.007118    0.005878     0.378
  721   19.012996    0.005878     0.389
  722   19.018875    0.005878     0.398
  723   19.024753    0.005878     0.408
  724   19.030631    0.005878     0.418
  725   19.036509    0.005878     0.428
  726   19.042388    0.005878     0.437
  727   19.048266    0.005878     0.446
  728   19.054144    0.005878     0.456
  729   19.060022    0.005878     0.465
  730   19.065900    0.005878     0.474
  731   19.077657    0.011756     0.492
  732   19.089413    0.011756     0.510
  733   19.101170    0.011756     0.527
  734   19.112926    0.011756     0.544
  735   19.124683    0.011756     0.560
  736   19.136439    0.011756     0.577
  737   19.148196    0.011756     0.593
  738   19.159952    0.011756     0.609
  739   19.171709    0.011756     0.624
  740   19.183465    0.011756     0.639
  741   19.195222    0.011756     0.654
  742   19.206978    0.011756     0.669
  743   19.218734    0.011756     0.684
  744   19.230491    0.011756     0.698
  745   19.242247    0.011756     0.712
  746   19.254004    0.011756     0.726
  747   19.265760    0.011756     0.740
  748   19.277517    0.011756     0.754
  749   19.289273    0.011756     0.767
  750   19.301030    0.011756     0.780
  751   19.324543    0.023513     0.806
  752   19.348056    0.023513     0.832
  753   19.371568    0.023513     0.856
  754   19.395081    0.023513     0.880
  755   19.418594    0.023513     0.904
  756   19.442107    0.023513     0.927
  757   19.465620    0.023513     0.949
  758   19.489133    0.023513     0.972
  759   19.512646    0.023513     0.993
  760   19.536159    0.023513     1.014
  761   19.559672    0.023513     1.035
  762   19.583185    0.023513     1.055
