GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.5 m
 State noise velocity: 0.0005 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 23560.0   6674760.3   220140.0 -2500025.1   29.2   41.9   44.1  0.287  0.041  0.033    5.6    5.9    1.9
 23860.0   5622978.3   867791.7 -4299519.5   20.8   41.7   42.6  0.320  0.041  0.027    5.7    5.9    1.4
 24160.0   4050405.2  1488237.6 -5676610.0   31.9   41.5   39.1  0.279  0.041  0.023   27.8    5.9    3.1
 24460.0   2108889.9  2040608.6 -6496710.5   39.1   41.3   32.1  0.428  0.041  0.019   24.1    5.9    0.7
 24760.0    -16181.7  2483267.0 -6679636.7   72.8   41.2   26.5  0.565  0.041  0.021   11.6    5.9    3.9
 25060.0  -2123513.1  2776568.1 -6207007.3   54.7   41.1   21.9  0.621  0.041  0.029   68.2    5.9    1.2
 25360.0  -4014653.3  2886312.6 -5124098.5   73.6   41.1   15.3  0.541  0.041  0.033   65.2    5.9    2.6
 25660.0  -5512503.3  2787690.1 -3536050.8    6.2   41.2   11.1  0.221  0.041  0.036    0.8    5.9    1.8
 25960.0  -6478240.7  2469309.3 -1598423.0   63.1   41.3   16.5  0.322  0.041  0.037   56.1    5.9    0.8
 26260.0  -6824993.9  1936640.2   497590.0   25.5   41.3   24.1  0.493  0.041  0.034   31.6    5.9    0.5
 26560.0  -6526497.1  1214156.1  2544168.0   64.1   41.3   31.9  0.338  0.041  0.029   21.5    5.9    0.3
 26860.0  -5619343.7   345586.0  4338100.0   43.2   41.2   37.7  0.764  0.041  0.026   54.3    5.9    0.1
 27160.0  -4198436.3  -607986.7  5701601.3   22.0   41.0   39.6  1.622  0.041  0.026   45.2    5.9    1.1
 27460.0  -2406398.2 -1572071.6  6500153.5   58.2   40.8   35.6  7.942  0.041  0.033   57.8    5.9    2.0
 27760.0   -418552.7 -2464446.7  6655563.8   19.9   40.7   31.2  0.251  0.041  0.045   83.0    5.9    2.1
 28060.0   1574730.2 -3202126.3  6153215.3   51.4   40.6   28.0  0.227  0.041  0.047   40.7    5.9    1.9
 28360.0   3386403.7 -3709071.3  5043143.7   41.4   40.6   22.5  0.147  0.041  0.044    9.5    5.9    0.3
 28660.0   4850330.5 -3924079.7  3435128.1  146.0   40.7   26.6  0.952  0.040  0.040   10.7    5.9    4.2
 28960.0   5836747.7 -3808110.7  1488006.1   82.0   40.7   28.9  0.243  0.040  0.031   15.4    5.9    2.0
 29260.0   6264017.4 -3350051.3  -605941.4   29.0   40.7   34.5  0.767  0.040  0.025   20.5    5.9    1.8
 29560.0   6105469.9 -2570059.3 -2640210.9   40.4   40.7   39.6  0.582  0.040  0.017   34.5    5.9    0.4
 29860.0   5390477.9 -1519834.9 -4414728.1   44.6   40.6   41.3  0.326  0.040  0.012   17.9    5.9    2.6
 30160.0   4199824.8  -279642.9 -5755581.2   82.0   40.5   40.9  0.493  0.040  0.014    9.1    5.9    3.5
 30460.0   2656238.8  1047636.8 -6531739.9  158.9   40.3   41.0  0.917  0.040  0.024    4.5    5.9    0.2
 30760.0    911451.8  2344855.3 -6667294.9   84.9   40.2   35.0  1.586  0.040  0.029    0.9    5.9    2.6
 31060.0   -868646.3  3490681.0 -6148440.1    8.4   40.2   30.4  0.264  0.040  0.034   56.8    5.9    2.0
 31360.0  -2519532.2  4370727.7 -5024953.3  103.3   40.2   33.7  0.378  0.040  0.041  103.2    5.9    0.2
 31660.0  -3893072.0  4889003.0 -3406002.5   94.1   40.3   43.7  0.337  0.040  0.051   78.2    5.9    2.2
 31960.0  -4870984.1  4978652.0 -1450274.1    9.4   40.4   43.2  0.283  0.040  0.051   26.2    5.9    0.8
 32260.0  -5375495.3  4610675.2   649179.9   29.4   40.4   42.3  0.437  0.040  0.042   56.6    5.9    0.1
 32560.0  -5375928.7  3799272.2  2684144.6  131.8   40.4   37.1  1.656  0.040  0.029   23.2    5.9    0.4
 32860.0  -4890265.0  2602657.6  4452583.0  119.2   40.3   43.6  1.177  0.040  0.026   28.5    5.9    2.4
 33160.0  -3981490.2  1119126.4  5779252.9   51.8   40.1   43.3  0.591  0.040  0.021   39.0    5.9    0.4
 33460.0  -2749386.0  -521372.6  6533334.1   40.8   40.0   40.3  0.254  0.040  0.020   48.2    5.9    4.3
 33760.0  -1319135.2 -2168951.7  6641048.5   58.3   39.9   34.5  0.138  0.040  0.029   80.5    5.9    0.1
 34060.0    171715.5 -3667659.7  6092474.3   20.8   39.9   24.7  0.234  0.040  0.038  108.8    5.9    4.2
 34360.0   1586637.5 -4870339.2  4942206.5   17.5   39.9   13.3  0.462  0.040  0.043   90.9    5.9    2.9
 34660.0   2802596.4 -5653177.5  3303983.6   51.4   39.9    2.7  0.281  0.040  0.043  100.3    5.9    1.9
 34960.0   3720761.7 -5928713.9  1339622.3   49.2   40.0   13.3  0.484  0.040  0.039   74.1    5.9    2.0
 35260.0   4274467.4 -5655795.6  -756925.3   47.5   40.0   23.8  0.204  0.040  0.033   64.8    5.9    6.0
 35560.0   4433710.0 -4845148.0 -2778942.4   35.0   40.0   30.3  0.114  0.039  0.022   73.8    5.9    4.2
 35860.0   4205735.1 -3559694.8 -4527613.2  103.0   39.9   35.8  0.921  0.039  0.021   86.5    5.9    4.9
 36160.0   3631870.1 -1909559.3 -5831598.7  179.6   39.8   31.6  1.783  0.039  0.011   32.3    5.9    5.2
 36460.0   2781235.5   -42233.6 -6563524.2   23.0   39.7   28.8  0.172  0.040  0.018   19.4    5.9    6.0
 36760.0   1742528.8  1870538.9 -6651764.2   55.6   39.6   24.8  7.946  0.040  0.022   14.9    5.9    5.3
 37060.0    614797.6  3648388.1 -6087086.0   66.4   39.6   25.0  0.303  0.040  0.025   44.0    5.9    3.7
 37360.0   -501832.0  5119010.4 -4923729.8   28.0   39.7   25.2  1.402  0.040  0.029   91.9    5.9    4.4
 37660.0  -1514848.8  6134891.6 -3274806.7    5.9   39.7   23.9  0.174  0.040  0.032  132.1    5.9    2.4
 37960.0  -2346890.7  6588594.7 -1302020.6   66.4   39.8   22.6  0.635  0.040  0.029   65.0    5.9    7.7
 38260.0  -2941523.7  6424869.6   799813.8   48.5   39.8   22.2  0.138  0.040  0.022    2.6    5.9    4.6
 38560.0  -3266761.2  5647885.7  2822209.2   49.9   39.8   26.1  0.784  0.039  0.013   38.1    5.9    4.2
 38860.0  -3315932.1  4322232.1  4564336.3   87.7   39.7   24.8  0.170  0.039  0.014   21.7    5.8    3.6
 39160.0  -3105871.9  2567249.2  5853618.2  106.1   39.6   30.7  7.203  0.039  0.029   21.9    5.9    5.9
 39460.0  -2672918.1   545578.5  6562966.0  201.9   39.5   24.9  0.151  0.039  0.018   40.5    5.9    4.0
 39760.0  -2067554.1 -1552431.6  6623018.2  150.1   39.4   22.4  0.421  0.039  0.023   70.2    5.9    0.3
 40060.0  -1348443.6 -3527124.4  6028557.2   32.5   39.4   16.5  0.246  0.039  0.028   96.6    5.9    0.7
 40360.0   -576674.5 -5188605.2  4838699.9   31.3   39.4   14.5  0.535  0.039  0.032   89.9    5.9    2.0
 40660.0    189309.7 -6375129.0  3171086.2   44.0   39.5   15.9  1.358  0.039  0.027   94.0    5.9    2.5
 40960.0    897788.4 -6969174.7  1190445.2   50.9   39.5   18.1  0.054  0.039  0.022   70.5    5.9    1.8
 41260.0   1506660.3 -6909513.5  -907662.6   57.8   39.5   21.1  0.132  0.039  0.013   54.6    5.9    0.8
 41560.0   1985043.9 -6197731.0 -2916385.4   57.0   39.5   20.8  0.336  0.039  0.009   37.6    5.9    1.9
 41860.0   2313583.7 -4898269.6 -4638267.7   43.0   39.5   18.7  0.095  0.039  0.019   39.7    5.8    3.7
 42160.0   2483628.1 -3132086.4 -5904659.4   51.8   39.4   18.1  0.274  0.039  0.022   29.0    5.9    4.4
 42460.0   2495679.4 -1064842.0 -6591852.8   23.5   39.3   18.4  0.640  0.039  0.025   12.2    5.9    0.3
 42760.0   2357538.2  1108826.2 -6632573.6   40.1   39.3   20.9  0.572  0.039  0.027    3.2    5.9    1.1
 43060.0   2082592.7  3183411.7 -6022194.2   20.9   39.3   25.1  0.614  0.039  0.034    8.5    5.9    1.1
 43360.0   1688563.7  4961627.8 -4819409.1   57.4   39.3   27.2  0.229  0.039  0.035   33.9    5.9    0.6
 43660.0   1196780.4  6273164.3 -3141228.7   71.8   39.3   33.1  0.367  0.039  0.036  106.7    5.9    3.0
 43960.0    631882.0  6991532.9 -1152339.6   48.4   39.4   35.6  0.226  0.039  0.034  172.1    5.9    0.5
 44260.0     21720.3  7047202.8   950760.0   32.5   39.4   37.8  0.146  0.039  0.029  150.8    5.9    3.5
 44560.0   -602762.7  6435136.4  2959430.2   29.3   39.4   39.5  0.775  0.039  0.029  107.3    5.9    2.1
 44860.0  -1207910.5  5215529.3  4674233.9   78.5   39.4   31.8  0.508  0.039  0.017   81.5    5.8    3.1
 45160.0  -1758166.5  3507458.9  5925354.4   54.6   39.3   24.9  1.146  0.039  0.016   52.8    5.9    4.6
 45460.0  -2217341.0  1476452.0  6589522.8   43.3   39.2   22.5  0.581  0.039  0.021   30.9    5.9    0.2
 45760.0  -2550441.2  -682263.5  6601879.3  116.0   39.1   17.1  0.344  0.039  0.019    3.5    5.9    4.0
 46060.0  -2726109.2 -2762945.6  5961898.3   44.1   39.1   12.2  0.206  0.039  0.014    1.2    5.9    1.0
 46360.0  -2719550.1 -4569055.1  4733165.2   52.0   39.1   10.8  0.131  0.039  0.010   13.8    5.9    0.0
 46660.0  -2515770.2 -5931938.3  3037150.4   73.9   39.1    9.7  0.577  0.039  0.008   22.5    5.9    0.3
 46960.0  -2112686.8 -6726866.0  1041368.1   43.2   39.2    7.1  0.943  0.039  0.012    4.0    5.9    1.4
 47260.0  -1523562.8 -6884809.6 -1057156.3   56.7   39.2    3.8  0.458  0.039  0.013    8.6    5.9    1.8
 47560.0   -778221.1 -6398578.4 -3051591.8   67.4   39.2    5.8  0.391  0.039  0.016    1.5    5.9    2.9
 47860.0     77316.3 -5322551.9 -4745928.5   82.3   39.2    4.4  0.276  0.039  0.012    6.0    5.9    0.2
 48160.0    982953.8 -3766123.2 -5974273.4  173.3   39.1   17.1  1.099  0.039  0.023   17.6    5.9    1.2
 48460.0   1868157.5 -1882118.9 -6616617.3   91.4   39.0   23.1  0.925  0.039  0.024   51.0    5.9    2.3
 48760.0   2657110.6   148492.4 -6610032.7   20.6   39.0   25.3  1.090  0.039  0.026   59.6    5.9    1.5
 49060.0   3274917.3  2133793.7 -5954472.7   23.3   39.0   26.7  0.160  0.039  0.027   77.6    5.9    1.7
 49360.0   3654613.8  3888739.7 -4713038.0   39.6   39.0   31.8  0.492  0.039  0.026   44.6    5.9    5.9
 49660.0   3744482.3  5252330.2 -3006593.2   46.2   39.1   27.8  0.269  0.039  0.019    3.3    5.9    0.2
 49960.0   3514880.3  6102841.5 -1002682.5   30.6   39.1   25.4  0.385  0.039  0.016   66.4    5.9    1.8
 50260.0   2963599.8  6369415.3  1100614.7   45.1   39.2   21.6  0.315  0.039  0.011  101.6    5.9    1.7
 50560.0   2118739.1  6038554.4  3094600.9   43.0   39.2   17.9  0.214  0.039  0.010   54.9    5.9    1.5
 50860.0   1038403.5  5154472.0  4781318.8   25.0   39.1   16.1  3.928  0.039  0.013   49.7    5.8    4.0
 51160.0   -192913.0  3813294.4  5993765.0  105.8   39.0    9.8  0.574  0.039  0.012   29.4    5.9    0.3
 51460.0  -1470993.0  2151977.1  6612557.5   26.0   39.0    7.8  0.496  0.039  0.010   12.6    5.9    2.3
 51760.0  -2680791.9   333740.2  6577334.0   84.8   38.9    7.7  0.131  0.039  0.010   42.9    5.9    3.1
 52060.0  -3706858.2 -1468342.5  5892250.8   28.9   38.9    5.6  0.109  0.039  0.010   47.2    5.9    1.1
 52360.0  -4444388.5 -3087893.9  4625328.9   25.3   38.9    6.0  0.300  0.039  0.010   16.9    5.9    3.0
 52660.0  -4810054.1 -4380665.4  2901803.1   52.7   38.9   12.7  0.379  0.039  0.013    6.2    5.9    2.2
 52960.0  -4751474.6 -5237521.8   891863.0  170.9   39.0   13.4  0.245  0.039  0.016    6.4    5.9    1.3
 53260.0  -4254224.4 -5593730.6 -1206039.0   97.6   39.0    8.8  0.142  0.039  0.006   21.9    5.9    0.2
 53560.0  -3345217.9 -5433697.1 -3185211.1   16.5   39.0   10.2  0.454  0.039  0.006    6.9    5.9    2.3
 53860.0  -2092000.7 -4790456.0 -4851191.1   67.8   39.0    9.6  0.766  0.039  0.002    3.3    5.8    0.1
 54160.0   -597762.2 -3740341.5 -6040894.7  104.8   38.9   16.2  0.900  0.039  0.010   14.1    5.9    3.1
 54460.0   1007134.9 -2393814.0 -6638090.6   42.1   38.8   17.2  0.413  0.039  0.015    7.1    5.9    0.8
 54760.0   2576455.8  -883666.3 -6584219.6   57.2   38.8   11.4  0.263  0.039  0.016   38.6    5.9    3.3
 55060.0   3961116.9   647950.9 -5883810.8   25.5   38.8    7.5  0.239  0.039  0.017   49.3    5.9    0.3
 55360.0   5023142.9  2062658.2 -4604352.2   38.7   38.8   10.9  0.396  0.039  0.016   51.1    5.9    2.6
 55660.0   5649541.5  3238214.9 -2870483.8   70.2   38.9   15.4  0.439  0.039  0.020   24.5    5.9    0.9
 55960.0   5764806.6  4079231.9  -852553.8   46.0   38.9   16.4  0.414  0.039  0.017   13.0    5.9    2.0
